gvkey,iid,datadate,tic,cusip,conm,cshtrd,prccd,prcod
001690,01,2017/11/01,AAPL,037833100,APPLE INC,33482970.0000,166.8900,169.8700
001690,01,2017/11/02,AAPL,037833100,APPLE INC,39668100.0000,168.1100,167.6400
001690,01,2017/11/03,AAPL,037833100,APPLE INC,59332210.0000,172.5000,174.0000
001690,01,2017/11/06,AAPL,037833100,APPLE INC,34770480.0000,174.2500,172.3650
001690,01,2017/11/07,AAPL,037833100,APPLE INC,24332120.0000,174.8100,173.9100
001690,01,2017/11/08,AAPL,037833100,APPLE INC,24358920.0000,176.2400,174.6600
001690,01,2017/11/09,AAPL,037833100,APPLE INC,29422610.0000,175.8800,175.1100
001690,01,2017/11/10,AAPL,037833100,APPLE INC,25129510.0000,174.6700,175.1100
001690,01,2017/11/13,AAPL,037833100,APPLE INC,16956290.0000,173.9700,173.5000
001690,01,2017/11/14,AAPL,037833100,APPLE INC,24683350.0000,171.3400,173.0400
001690,01,2017/11/15,AAPL,037833100,APPLE INC,28998220.0000,169.0800,169.9700
001690,01,2017/11/16,AAPL,037833100,APPLE INC,23598650.0000,171.1000,171.1800
001690,01,2017/11/17,AAPL,037833100,APPLE INC,21884010.0000,170.1500,171.0400
001690,01,2017/11/20,AAPL,037833100,APPLE INC,16041550.0000,169.9800,170.2900
001690,01,2017/11/21,AAPL,037833100,APPLE INC,25047130.0000,173.1400,170.7800
001690,01,2017/11/22,AAPL,037833100,APPLE INC,25558680.0000,174.9600,173.3600
001690,01,2017/11/24,AAPL,037833100,APPLE INC,14026670.0000,174.9700,175.1000
001690,01,2017/11/27,AAPL,037833100,APPLE INC,20591090.0000,174.0900,175.0500
001690,01,2017/11/28,AAPL,037833100,APPLE INC,26387240.0000,173.0700,174.3000
001690,01,2017/11/29,AAPL,037833100,APPLE INC,41459120.0000,169.4800,172.6300
001690,01,2017/11/30,AAPL,037833100,APPLE INC,41484540.0000,171.8500,170.4300
001690,01,2017/12/01,AAPL,037833100,APPLE INC,39735110.0000,171.0500,169.9500
001690,01,2017/12/04,AAPL,037833100,APPLE INC,32512580.0000,169.8000,172.4800
